f,s11
3600000000.0,(-0.30000875269612204+0.24491333032316714j)
3665000000.0,(-0.2959598883897087+0.2594274576601567j)
3730000000.0,(-0.2907614302679918+0.27387597424992477j)
3795000000.0,(-0.28441514774398335+0.28811677175487294j)
3860000000.0,(-0.2769468244383495+0.3020075959605095j)
3925000000.0,(-0.26840626961659664+0.3154111230021422j)
3990000000.0,(-0.2588660496379217+0.3281999815589638j)
4055000000.0,(-0.2484189883564665+0.34026134864196594j)
4120000000.0,(-0.23717460645055571+0.3515007789842024j)
4185000000.0,(-0.22525477107133113+0.361845002851905j)
4250000000.0,(-0.21278889363817668+0.37124353277098254j)
4315000000.0,(-0.19990903643771027+0.37966903926832934j)
4380000000.0,(-0.18674526756912696+0.38711657081438955j)
4445000000.0,(-0.17342154607684035+0.39360178774707655j)
4510000000.0,(-0.16005233748337686+0.399158443521183j)
4575000000.0,(-0.14674006905902073+0.40383537534292613j)
4640000000.0,(-0.13357344756059653+0.40769326254802996j)
4705000000.0,(-0.12062658993567527+0.41080138190575227j)
4770000000.0,(-0.10795886527728472+0.4132345435437904j)
4835000000.0,(-0.09561531550097145+0.41507033862577764j)
4900000000.0,(-0.08362751084365969+0.41638677802569446j)
4965000000.0,(-0.07201470035909974+0.41726035549582163j)
5030000000.0,(-0.06078513232709359+0.4177645322635814j)
5095000000.0,(-0.04993744029854255+0.4179686135841767j)
5160000000.0,(-0.03946201353206886+0.4179369709731202j)
5225000000.0,(-0.02934229303163223+0.4177285551883801j)
5290000000.0,(-0.019555954484668066+0.4173966426759101j)
5355000000.0,(-0.010075956217661651+0.41698876026855164j)
5420000000.0,(-0.0008714435805916612+0.4165467377854868j)
5485000000.0,(0.008091488866459058+0.4161068444918482j)
5550000000.0,(0.0168491689186367+0.41569997216953036j)
5615000000.0,(0.025439838860002704+0.41535183416576993j)
5680000000.0,(0.033903252010606455+0.41508315583838135j)
5745000000.0,(0.04228035580271598+0.4149098371255845j)
5810000000.0,(0.05061304256508567+0.4148430725055888j)
5875000000.0,(0.05894394868551802+0.4148894174534629j)
5940000000.0,(0.06731628246328382+0.4150507937982187j)
6005000000.0,(0.07577366055743076+0.4153244293265474j)
6070000000.0,(0.08435993236485413+0.4157027297976468j)
6135000000.0,(0.09311897087880233+0.4161730844742787j)
6200000000.0,(0.10209440761819885+0.4167176096007892j)
6265000000.0,(0.11132928820191701+0.41731283823749593j)
6330000000.0,(0.12086562429202348+0.41792936975322315j)
6395000000.0,(0.13074381728739637+0.4185314983149623j)
6460000000.0,(0.1410019297929861+0.41907684706090353j)
6525000000.0,(0.15167478315066732+0.4195160433461156j)
6590000000.0,(0.1627928639752231+0.41979248035929484j)
6655000000.0,(0.17438103059447785+0.41984222108276764j)
6720000000.0,(0.18645702249270596+0.4195941111604926j)
6785000000.0,(0.19902979315376634+0.4189701763886257j)
6850000000.0,(0.21209770963091257+0.4178863862922043j)
6915000000.0,(0.22564669064078002+0.41625386504269984j)
6980000000.0,(0.23964838788289758+0.413980621788439j)
7045000000.0,(0.2540585501003181+0.41097385118990537j)
7110000000.0,(0.26881574187107454+0.4071428189640229j)
7175000000.0,(0.28384061321916804+0.4024022953397907j)
7240000000.0,(0.2990359244335458+0.3966764327823366j)
7305000000.0,(0.31428751519411763+0.38990290792100574j)
7370000000.0,(0.3294663617776154+0.3820370701811153j)
7435000000.0,(0.34443178786683254+0.37305577384107225j)
7500000000.0,(0.35903578623471816+0.3629605310499423j)
7565000000.0,(0.37312828054549035+0.3517796250255072j)
7630000000.0,(0.3865630261268072+0.3395688749671769j)
7695000000.0,(0.39920373810241233+0.32641084855675845j)
7760000000.0,(0.4109299673897541+0.3124124648690713j)
7825000000.0,(0.42164223709282883+0.29770110006322964j)
7890000000.0,(0.43126601055704217+0.2824194731869569j)
7955000000.0,(0.4397541812393837+0.2667197214571167j)
8020000000.0,(0.4470879344595771+0.25075715088126543j)
8085000000.0,(0.4532760047628752+0.234684157749925j)
8150000000.0,(0.45835251128015575+0.21864476170268024j)
8215000000.0,(0.4623736735862879+0.2027700862772246j)
8280000000.0,(0.4654137785419498+0.18717499023543518j)
8345000000.0,(0.4675607823285649+0.17195591639120963j)
8410000000.0,(0.4689118991024267+0.1571899044096623j)
8475000000.0,(0.46956946240677366+0.14293462341204463j)
8540000000.0,(0.4696372637313732+0.12922922458890718j)
