f,s11
1750000000.0,(-0.8466476479251472+0.11198380965422547j)
1765000000.0,(-0.8429438091911605+0.1146309656179428j)
1780000000.0,(-0.8392366849257477+0.11712634578842206j)
1795000000.0,(-0.8355325544743438+0.1194730572931578j)
1810000000.0,(-0.831837450712691+0.12167446744472428j)
1825000000.0,(-0.8281571490137822+0.12373418867806514j)
1840000000.0,(-0.8244971570665164+0.1256560629885375j)
1855000000.0,(-0.8208627055717326+0.12744414591854178j)
1870000000.0,(-0.8172587398384734+0.129102690142152j)
1885000000.0,(-0.8136899123003793+0.13063612869855926j)
1900000000.0,(-0.8101605759690708+0.1320490579263425j)
1915000000.0,(-0.8066747788382418+0.13334622015157335j)
1930000000.0,(-0.8032362592489808+0.1345324861835494j)
1945000000.0,(-0.7998484422235871+0.13561283767251125j)
1960000000.0,(-0.7965144367718344+0.13659234938404585j)
1975000000.0,(-0.7932370341703412+0.1374761714449956j)
1990000000.0,(-0.7900187072123691+0.13826951161558731j)
2005000000.0,(-0.7868616104220812+0.1389776176421627j)
2020000000.0,(-0.7837675812240147+0.13960575974433845j)
2035000000.0,(-0.7807381420553025+0.14015921328964992j)
2050000000.0,(-0.7777745034050306+0.14064324170774467j)
2065000000.0,(-0.7748775677620372+0.14106307969499665j)
2080000000.0,(-0.7720479344494947+0.14142391675901533j)
2095000000.0,(-0.7692859053217492+0.1417308811509398j)
2110000000.0,(-0.7665914912961627+0.14198902423164j)
2125000000.0,(-0.7639644196901008+0.14220330531601147j)
2140000000.0,(-0.7614041423307671+0.1423785770374587j)
2155000000.0,(-0.7589098444032986+0.1425195712724238j)
2170000000.0,(-0.7564804540004159+0.1426308856624534j)
2185000000.0,(-0.7541146523349863+0.14271697076881337j)
2200000000.0,(-0.7518108845750966+0.142782117892077j)
2215000000.0,(-0.7495673712596598+0.142830447586447j)
2230000000.0,(-0.74738212025121+0.14286589889582701j)
2245000000.0,(-0.7452529391813391+0.14289221933586807j)
2260000000.0,(-0.7431774483432549+0.14291295564337564j)
2275000000.0,(-0.7411530939851215+0.1429314453116038j)
2290000000.0,(-0.7391771619572576+0.142950808927088j)
2305000000.0,(-0.7372467916658337+0.14297394332079946j)
2320000000.0,(-0.7353589902854897+0.14300351554354745j)
2335000000.0,(-0.7335106471832338+0.14304195767273267j)
2350000000.0,(-0.7316985485061138+0.14309146245476673j)
2365000000.0,(-0.7299193918854361+0.14315397978474392j)
2380000000.0,(-0.7281698012107618+0.14323121402227743j)
2395000000.0,(-0.726446341427516+0.14332462213981542j)
2410000000.0,(-0.7247455333127796+0.14343541269723362j)
