f,s11,s21,ZL,ZL_a
6100000000.0,(-0.7630905827849809+0.0048612207141335035j),(-0+0j),(50.61866888757494+1.1782940296791748j),376.73059781804545
6185000000.0,(-0.7638166285667974+0.004124745967481022j),(-0+0j),(50.443667996483065+0.9989617229911621j),376.73059005596804
6270000000.0,(-0.7645638397121898+0.0034403709414543j),(-0+0j),(50.263490439352466+0.8325105434116575j),376.7305826074288
6355000000.0,(-0.7653297252155447+0.0028074920819739285j),(-0+0j),(50.07878173703169+0.6787762499636475j),376.730575455766
6440000000.0,(-0.7661119094860567+0.0022254443199411227j),(-0-0j),(49.890155037362646+0.5375767305888067j),376.7305685854096
6525000000.0,(-0.7669081291407799+0.0016935088931644944j),(-0-0j),(49.69819193900346+0.4087144516207045j),376.7305619817977
6610000000.0,(-0.7677162295942781+0.0012109205787861033j),(-0-0j),(49.50344340399327+0.29197871930417046j),376.7305556312981
6695000000.0,(-0.768534161489088+0.0007768743638005536j),(-0-0j),(49.306430741415745+0.18714776067333835j),376.73054952113864
6780000000.0,(-0.7693599770062681+0.0003905315817430195j),(-0-0j),(49.10764664640155+0.09399063174259648j),376.7305436393427
6865000000.0,(-0.7701918260907451+5.1025543772926643e-05j),(-0-0j),(48.90755628048058+0.01226896141408944j),376.7305379746706
6950000000.0,(-0.7710279526219763-0.00024253330776898805j),(-0-0j),(48.70659838094535-0.05826146021668205j),376.73053251656563
7035000000.0,(-0.7718666905566051-0.0004910526956360712j),(-0-0j),(48.50518638841666-0.11784924033973496j),376.73052725510496
7120000000.0,(-0.7727064600662764-0.0006954542266736171j),(-0-0j),(48.30370958321092-0.1667460798615927j),376.7305221809546
7205000000.0,(-0.7735457636905967-0.000856669507167693j),(-0-0j),(48.10253422239803-0.20520559904038702j),376.73051728532783
7290000000.0,(-0.774383182522321-0.000975636629043886j),(-0-0j),(47.90200467061323-0.23348228374455648j),376.730512559947
7375000000.0,(-0.775217372439259-0.0010532970023715662j),(-0-0j),(47.702444518749125-0.2518305439847486j),376.73050799700906
7460000000.0,(-0.7760470603950246-0.0010905925106668116j),(-0-0j),(47.504157685614125-0.26050387665326363j),376.73050358915276
7545000000.0,(-0.7768710407786579-0.0010884629665658507j),(-0-0j),(47.30742949850233-0.2597541247260185j),376.73049932942905
7630000000.0,(-0.7776881718512655-0.0010478438465550822j),(-0-0j),(47.11252774938889-0.24983082553343874j),376.73049521127405
7715000000.0,(-0.7784973722661377-0.0009696642845760858j),(-0-0j),(46.91970372414616-0.23098064107670102j),376.7304912284832
7800000000.0,(-0.7792976176773253-0.0008548453054498418j),(-0-0j),(46.72919320278005-0.20344686374722395j),376.7304873751884
7885000000.0,(-0.7800879374403297-0.0007042982801969458j),(-0-0j),(46.541217429216196-0.1674689911959421j),376.7304836458358
7970000000.0,(-0.7808674114074069-0.0005189235864339737j),(-0-0j),(46.3559840496311-0.12328236448610008j),376.7304800351666
8055000000.0,(-0.781635166818958-0.00029960945811551373j),(-0-0j),(46.173688018728114-0.07111786404840785j),376.7304765381975
8140000000.0,(-0.7823903752916024-4.723100994867115e-05j),(-0-0j),(45.994512473708376-0.01120165833384319j),376.73047315020426
8225000000.0,(-0.783132249902735+0.00023735057716401623j),(-0-0j),(45.81862957598987+0.056244999572145404j),376.7304698667055
8310000000.0,(-0.7838600423707184+0.0005532887223095034j),(-0-0j),(45.64620132098537+0.13100593175625178j),376.7304666834479
8395000000.0,(-0.7845730403292653+0.000899751974075334j),-0j,(45.47738031647064+0.21287015574357945j),376.73046359639204
8480000000.0,(-0.785270564694084+0.0012759244141664532j),-0j,(45.312310530258095+0.3016319689346458j),376.73046060170043
8565000000.0,(-0.7859519671194303+0.001681005945031506j),-0j,(45.151128008047586+0.39709100061140545j),376.7304576957247
8650000000.0,(-0.7866166275418613+0.002114212470556639j),-0j,(44.993961562452576+0.49905223461230735j),376.7304548749948
8735000000.0,(-0.787263951808181+0.0025747759780847517j),-0j,(44.84093343430556+0.6073260054938787j),376.730452136209
8820000000.0,(-0.7878933693843295+0.0030619445292452406j),-0j,(44.69215992743066+0.7217279707279818j),376.7304494762237
8905000000.0,(-0.7885043311417631+0.003574982166346909j),-0j,(44.547752018137935+0.8420790612305584j),376.7304468920446
8990000000.0,(-0.789096307217707+0.004113168740388388j),-0j,(44.40781594074626+0.968205412278805j),376.7304443808183
